"id","bal","block","x","cond","trial","y","c2","task","cycle","dim1","dim2","cor","error","res","time","valence_current_group","valence_previous_group","switch","prev_error","mean_rt","sd_rt","rt_z"
"9",1,"1",0,"0",80,0,0,"1","2","2","3","2",1,"1",1124,2,1,0,0,613.3125,248.881554611439,2.05192988607493
"9",1,"1",0,"0",81,0,0,"1","3","1","2","1",0,"1",597,2,1,0,1,675.820512820513,490.189537552614,-0.160795991717903
"9",1,"1",0,"0",82,0,0,"2","1","1","3","3",0,"3",701,2,2,1,0,698.816326530612,322.043260129067,0.00678068365260168
"9",1,"1",0,"0",83,0,0,"2","2","1","3","3",0,"3",436,2,2,0,0,522.446808510638,273.635334016281,-0.315919758029111
"9",1,"1",0,"0",84,0,0,"2","3","1","3","3",0,"3",317,2,2,0,0,570.148148148148,234.505453724843,-1.0794979141303
"9",1,"1",0,"0",85,0,0,"1","1","1","2","1",0,"1",389,2,2,1,0,698.816326530612,322.043260129067,-0.962033257291103
"9",1,"1",0,"0",86,0,0,"1","2","2","1","2",0,"2",597,2,2,0,0,522.446808510638,273.635334016281,0.272454548888507
"9",1,"1",0,"0",87,0,0,"1","3","3","1","3",0,"3",469,2,2,0,0,570.148148148148,234.505453724843,-0.4313253553021
"9",1,"1",0,"0",88,0,0,"2","1","2","1","1",0,"1",557,2,2,1,0,698.816326530612,322.043260129067,-0.44036421216757
"9",1,"1",0,"0",89,0,0,"2","2","3","2","2",0,"2",429,2,2,0,0,522.446808510638,273.635334016281,-0.341501249634224
"9",1,"1",0,"0",90,0,0,"2","3","3","2","2",0,"2",580,2,2,0,0,570.148148148148,234.505453724843,0.0420111843684945
"9",1,"1",0,"0",91,0,0,"1","1","3","1","3",1,"1",765,2,2,1,0,698.816326530612,322.043260129067,0.205511748461567
"9",1,"1",0,"0",92,0,0,"1","2","1","2","1",0,"1",589,2,2,0,1,522.446808510638,273.635334016281,0.243218558482662
"9",1,"1",0,"0",93,0,0,"1","3","3","2","3",1,"2",492,2,2,0,0,570.148148148148,234.505453724843,-0.333246612847833
"9",1,"1",0,"0",94,0,0,"2","1","2","3","3",0,"3",596,2,2,1,1,698.816326530612,322.043260129067,-0.319262469549607
"9",1,"1",0,"0",95,0,0,"2","2","1","3","3",0,"3",308,2,2,0,0,522.446808510638,273.635334016281,-0.78369560452262
"9",1,"1",0,"0",96,0,0,"2","3","2","1","1",0,"1",597,2,2,0,0,570.148148148148,234.505453724843,0.114504167921649
"9",1,"1",0,"0",97,0,0,"1","1","3","1","3",0,"3",645,2,2,1,0,698.816326530612,322.043260129067,-0.167108998055243
"9",1,"1",0,"0",98,0,0,"1","2","3","2","3",0,"3",357,2,2,0,0,522.446808510638,273.635334016281,-0.604625163286823
"9",1,"1",0,"0",99,0,0,"1","3","1","2","1",0,"1",556,2,2,0,0,570.148148148148,234.505453724843,-0.0603318512359583
"9",1,"1",0,"0",100,0,0,"2","1","1","2","2",0,"2",605,2,2,1,0,698.816326530612,322.043260129067,-0.291315913560846
"9",1,"1",0,"0",101,0,0,"2","2","3","1","1",0,"1",453,2,2,0,0,522.446808510638,273.635334016281,-0.253793278416691
"9",1,"1",0,"0",102,0,0,"2","3","1","3","3",0,"3",517,2,2,0,0,570.148148148148,234.505453724843,-0.226639284093194
"9",1,"1",0,"0",103,0,0,"1","1","3","2","3",0,"3",533,2,2,1,0,698.816326530612,322.043260129067,-0.514888361470932
"9",1,"1",0,"0",104,0,0,"1","2","2","1","2",0,"2",532,2,2,0,0,522.446808510638,273.635334016281,0.0349121268410214
"9",1,"1",0,"0",105,0,0,"1","3","2","1","2",0,"2",557,2,2,0,0,570.148148148148,234.505453724843,-0.0560675580857728
"9",1,"1",0,"0",106,0,0,"2","1","4","3","3",0,"3",492,1,2,1,0,628.463414634146,197.049371676361,-0.692534127225116
"9",1,"1",0,"0",107,0,0,"2","2","4","1","1",1,"3",581,1,2,0,0,519.414634146341,163.364466088828,0.376981404390427
"9",1,"1",0,"0",108,0,0,"2","3","4","1","1",0,"1",765,1,2,0,1,498.380952380952,122.740843855215,2.17221129694652
"9",1,"1",0,"0",109,0,0,"1","1","2","4","2",0,"2",837,1,1,1,0,723.486486486486,363.182967480398,0.312551864149962
"9",1,"1",0,"0",110,0,0,"1","2","3","4","3",0,"3",508,1,1,0,0,475.717948717949,127.662579258959,0.252870116438493
"9",1,"1",0,"0",111,0,0,"1","3","3","4","3",1,"2",805,1,1,0,0,502.837837837838,222.058990349851,1.36072924445036
"9",1,"1",0,"0",112,0,0,"2","1","2","1","1",0,"1",773,2,1,1,1,626.714285714286,215.265167728025,0.679560543071872
"9",1,"1",0,"0",113,0,0,"2","2","2","3","3",1,"1",405,2,1,0,0,613.3125,248.881554611439,-0.836994530692416
"9",1,"1",0,"0",114,0,0,"2","3","3","1","1",0,"1",1453,2,1,0,1,675.820512820513,490.189537552614,1.58546730935902
"9",1,"1",0,"0",115,0,0,"1","1","2","1","2",1,"1",373,2,2,1,0,698.816326530612,322.043260129067,-1.01171602349334
"9",1,"1",0,"0",116,0,0,"1","2","3","1","3",0,"3",477,2,2,0,1,522.446808510638,273.635334016281,-0.166085307199158
"9",1,"1",0,"0",117,0,0,"1","3","2","1","2",0,"2",949,2,2,0,0,570.148148148148,234.505453724843,1.61553535678696
"9",1,"1",0,"0",118,0,0,"2","1","4","2","2",0,"2",1180,1,2,1,0,628.463414634146,197.049371676361,2.79897662536936
"9",1,"1",0,"0",119,0,0,"2","2","4","1","1",0,"1",597,1,2,0,0,519.414634146341,163.364466088828,0.47492191974889
"9",1,"1",0,"0",120,0,0,"2","3","4","2","2",0,"2",357,1,2,0,0,498.380952380952,122.740843855215,-1.15186557253692
"9",1,"2",0,"0",4,0,0,"2","1","4","1","1",1,"3",1053,1,1,1,0,723.486486486486,363.182967480398,0.907293411361033
"9",1,"2",0,"0",5,0,0,"2","2","4","2","2",0,"2",381,1,1,0,1,475.717948717949,127.662579258959,-0.741939801528034
"9",1,"2",0,"0",6,0,0,"2","3","4","1","1",0,"1",613,1,1,0,0,502.837837837838,222.058990349851,0.496094132413208
