id,bal,block,x,cond,trial,y,c2,task,cycle,dim1,dim2,cor,error,res,time
9,1,0,0,0,18,0,0,2,3,2,1,1,0,1,525
9,1,0,0,0,19,0,0,2,1,3,2,2,0,2,748
9,1,0,0,0,20,0,0,2,2,2,1,1,0,1,788
9,1,0,0,0,21,0,0,2,3,1,3,3,0,3,493
9,1,0,0,0,22,0,0,2,1,3,2,2,0,2,629
9,1,0,0,0,23,0,0,2,2,1,2,2,0,2,541
9,1,0,0,0,24,0,0,2,3,2,3,3,0,3,1205
9,1,0,0,0,25,0,0,2,1,1,2,2,0,2,8957
9,1,0,0,0,26,0,0,2,2,2,3,3,0,3,1060
9,1,0,0,0,27,0,0,2,3,3,1,1,0,1,2973
9,1,0,0,0,28,0,0,2,1,4,3,3,0,3,565
9,1,0,0,0,29,0,0,2,2,4,2,2,0,2,1356
9,1,0,0,0,30,0,0,2,3,4,2,2,0,2,757
9,1,0,0,0,31,0,0,2,1,4,1,1,0,1,580
9,1,0,0,0,32,0,0,2,2,4,2,2,0,2,549
9,1,0,0,0,33,0,0,2,3,4,1,1,0,1,877
9,1,0,0,0,34,0,0,2,1,4,3,3,0,3,509
9,1,0,0,0,35,0,0,2,2,4,2,2,0,2,477
9,1,0,0,0,36,0,0,2,3,4,1,1,0,1,661
9,1,0,0,0,37,0,0,2,1,4,2,2,0,2,468
9,1,0,0,0,38,0,0,2,2,4,3,3,1,1,389
9,1,0,0,0,39,0,0,2,3,4,2,2,0,2,789
9,1,0,0,0,40,0,0,2,1,1,3,3,0,3,509
9,1,0,0,0,41,0,0,2,2,2,3,3,0,3,365
9,1,0,0,0,42,0,0,2,3,2,3,3,0,3,292
9,1,0,0,0,1,0,0,1,1,3,2,3,0,3,1004
9,1,0,0,0,2,0,0,1,2,2,1,2,0,2,1380
9,1,0,0,0,3,0,0,1,3,1,3,1,0,1,853
9,1,0,0,0,4,0,0,2,1,4,2,2,0,2,940
9,1,0,0,0,5,0,0,2,2,4,3,3,0,3,589
9,1,0,0,0,6,0,0,2,3,4,3,3,0,3,548
9,1,0,0,0,7,0,0,1,1,1,2,1,0,1,1684
9,1,0,0,0,8,0,0,1,2,2,1,2,0,2,677
