ID	Raven	CF	Color	Big	Small	Woval	Wrec	Boval	Brec	Color4	Color8	Woval4	Woval8	Wrec4	Wrec8	Boval4	Boval8	Brec4	Brec8	DigSym	RedBlueAccuracy	RedBlueRT	RedAcc	RedRT	BlueAcc	BlueRT	g	Slots	Resolution	SpeedDigitRedBlue	SpeedRedBlue
962	25	27	4.13	.43	3.76	-.48	1.35	3.6	3.91	3.75	4.5	.53	-1.48	-.36	3.05	2.91	4.3	2.46	5.36	86	1	420.86	1	420.18	1	408.59	.39781	.60717	-.79273	-.31315	.59405
963	24	28	4.63	1.22	2.07	.62	1.82	1.51	2.62	4	5.25	1.54	-.3	2.18	1.46	2.21	.81	2.83	2.42	78	1	330.64	1	356.55	1	328.51	.41162	-.39199	.1413	.36281	-.74475
964	14	24	3.75	1.68	2.88	2.2	1.15	2.66	3.09	3.25	4.25	2.64	1.76	1.21	1.09	2.96	2.36	3.37	2.81	99	.99	468.84	.97	434.68	1	474.92	-1.22208	-.15362	.39138	-.30538	1.36202
965	21	27	2.31	1.33	2.06	2.02	.63	1.61	2.51	3.13	1.5	1.19	2.85	2.4	-1.13	1.24	1.97	2.24	2.79	89	1	480.1	1	501	1	483.25	-.05318	-1.13019	.08971	-.8517	2.03389
966	29	25	3.19	1.31	3.54	1.47	1.16	3.34	3.74	3.63	2.75	.8	2.13	.67	1.65	3.36	3.33	3.36	4.12	64	.98	354.93	.98	332.15	.98	354.22	.59568	.10339	-.00825	-.49763	-.7148
967	20	26	1.56	.86	2.75	.96	.75	3.03	2.48	2.88	.25	.18	1.75	1.08	.42	2.74	3.32	3.55	1.42	94	.99	354.43	1	371.97	.98	352.04	-.29248	-.95636	-.33272	.76799	-.38061
968	24	26	4.5	1.47	3.57	1.36	1.57	3.25	3.88	4	5	2.73	0	2.07	1.07	3.3	3.2	3.67	4.1	86	1	384.8	1	398.17	1	381	.15851	.54935	.16926	.09133	.13198
969	21	24	3.25	2.08	3.56	2.93	1.23	3.53	3.6	3.25	3.25	2.78	3.08	.97	1.49	2.76	4.3	2.79	4.41	93	.99	343.13	.98	372.84	1	342.88	-.43285	.08599	.69977	.85271	-.46111
970	22	26	3.63	.34	3.28	1.12	-.44	2.35	4.2	3.75	3.5	2.62	-.39	-.27	-.61	3.38	1.33	3.33	5.06	104	.96	339.42	.98	342.14	.95	338.23	-.06699	.29765	-1.13282	1.35638	-.77978
971	22	27	3.63	.88	4.13	2.15	-.39	4.35	3.91	3.75	3.5	2.22	2.08	.08	-.86	3.3	5.4	3.77	4.05	102	1	445.77	1	432.88	1	446.11	.05957	.78209	-.64831	.07935	1.06853
972	24	30	4	1.72	5	2.77	.68	4.78	5.23	3.5	4.5	3.24	2.29	.28	1.08	3.86	5.69	3.78	6.68	116	1	358.75	1	361.33	1	360.04	.66474	1.37275	.11266	1.64349	-.39849
973	 	23	5.25	2.25	3.57	2.1	2.39	3.62	3.52	4	6.5	1.09	3.11	3.08	1.71	3.24	4	3.43	3.6	73	.97	338.88	.98	391.4	.95	338	 	.69155	1.01104	.06038	-.3425
974	26	31	4.06	1.14	3.06	.75	1.53	2.52	3.6	3.38	4.75	1.2	.31	2.42	.65	2.84	2.19	3.65	3.56	106	.98	330.38	.98	360.71	.98	329.71	1.01679	.08928	-.08086	1.54176	-.69605
975	26	26	3.88	.49	3.81	-.08	1.07	3.87	3.76	3.25	4.5	1.3	-1.46	.32	1.82	3.48	4.25	3.2	4.31	89	.87	314.03	.93	311.59	.82	307.03	.384	.56553	-.76534	1.01121	-1.35273
